experiment,seed,control,treatment,difference_treatment_minus_control,primary_metric,direction
pad_risk,33032,0.04777777777777778,0.013333333333333334,-0.034444444444444444,unsafe_action_rate,less
pad_risk,33085,0.04888888888888889,0.024444444444444446,-0.024444444444444446,unsafe_action_rate,less
pad_risk,33138,0.05,0.021111111111111112,-0.02888888888888889,unsafe_action_rate,less
tam_postpone,30011,-3.7181304568055853,4.762373279127748,8.480503735933333,deadline_utility,greater
tam_postpone,30064,1.5525610140932773,10.754865663394654,9.202304649301377,deadline_utility,greater
tam_postpone,30117,-3.2855647052435075,-0.4320035735546641,2.8535611316888434,deadline_utility,greater
tam_postpone,30170,-3.409138042660822,4.74763900128038,8.1567770439412,deadline_utility,greater
tam_postpone,30223,0.6411908670661505,4.810251190085998,4.169060323019847,deadline_utility,greater
tam_postpone,30276,-2.5244691954961356,6.3852289089227785,8.909698104418915,deadline_utility,greater
tam_postpone,30329,-3.980641514341787,1.1843934424866387,5.165034956828426,deadline_utility,greater
